epoch,batch,loss,loss_1,loss_2,loss_3
201,0,0.00012195717135909945,1.3196842701290734e-05,1.4931904843251687e-05,9.382842836203054e-05
201,100,7.157014624681324e-05,2.1580133761744946e-05,3.244123490730999e-06,4.674589217756875e-05
201,200,5.876440991414711e-05,1.5593426724080928e-05,3.7251807043503504e-06,3.944580384995788e-05
201,300,0.0002466454461682588,3.898107752320357e-05,3.0700471143063623e-06,0.0002045943110715598
201,400,0.0001138170700869523,3.3357555366819724e-05,7.066837042657426e-06,7.33926790417172e-05
201,500,3.902118987753056e-05,1.3335626135813072e-05,5.8466134760237765e-06,1.983894981094636e-05
201,600,7.429994730046019e-05,2.4488275812473148e-05,4.1086095734499395e-06,4.57030619145371e-05
201,700,8.032585174078122e-05,2.1382202248787507e-05,4.048694790981244e-06,5.4894953791517764e-05
201,800,5.8103152696276084e-05,1.539227378088981e-05,8.787622391537298e-06,3.392325743334368e-05
201,900,8.014307240955532e-05,2.6210382202407345e-05,9.524886081635486e-06,4.440780685399659e-05
201,1000,9.670025610830635e-05,1.7411590306437574e-05,5.4895031098567415e-06,7.379916496574879e-05
201,1100,9.025594044942409e-05,4.0653496398590505e-05,6.118075361882802e-06,4.348436414147727e-05
201,1200,4.754442488774657e-05,1.0208163985225838e-05,3.3432820600864943e-06,3.399297929718159e-05
201,1300,4.106260894332081e-05,1.1116540918010287e-05,5.574718215939356e-06,2.4371349354623817e-05
201,1400,4.847788659390062e-05,1.2299134141358081e-05,3.316993797852774e-06,3.286175706307404e-05
201,1500,4.991933747078292e-05,8.968271686171647e-06,5.009893811802613e-06,3.594117151806131e-05
201,1600,7.792724500177428e-05,2.8206686693010852e-05,6.9046623139001895e-06,4.281589644961059e-05
201,1700,0.00013158860383555293,3.48080720868893e-05,6.917876817169599e-06,8.986264583654702e-05
201,1800,4.8470501496922225e-05,1.3124863471603021e-05,6.720493274769979e-06,2.8625143386307172e-05
201,1900,0.0001535008050268516,2.4572907932451926e-05,8.165994586306624e-06,0.00012076190614607185
202,0,8.934806828619912e-05,3.452492819633335e-05,6.171883342176443e-06,4.8651258111931384e-05
202,100,7.228481990750879e-05,2.2798381905886345e-05,5.8807468121813145e-06,4.3605687096714973e-05
202,200,9.831567149376497e-05,1.693338890618179e-05,4.257083219272317e-06,7.712520164204761e-05
202,300,8.049018651945516e-05,2.0576482711476274e-05,6.658809979853686e-06,5.325489473761991e-05
202,400,6.93970505381003e-05,2.246352050860878e-05,3.295053602414555e-06,4.363847619970329e-05
202,500,8.702450577402487e-05,2.8294225558056496e-05,6.578258307854412e-06,5.215202327235602e-05
202,600,0.00018481153529137373,2.2074733351473697e-05,3.0688909191667335e-06,0.00015966790670063347
202,700,5.0456394092179835e-05,1.983602487598546e-05,8.01671194494702e-06,2.260365909023676e-05
202,800,6.347672024276108e-05,2.085486448777374e-05,4.363879270385951e-06,3.825797466561198e-05
202,900,6.193177250679582e-05,1.721022999845445e-05,3.819416178885149e-06,4.090213042218238e-05
202,1000,9.960070747183636e-05,1.58495477080578e-05,5.286621217237553e-06,7.846453809179366e-05
202,1100,6.136846786830574e-05,2.5696846932987683e-05,6.66136156723951e-06,2.9010261641815305e-05
202,1200,5.2778705139644444e-05,1.9486164092086256e-05,6.810974809923209e-06,2.648156623763498e-05
202,1300,0.0001431812415830791,1.3627633052237798e-05,5.249090008874191e-06,0.00012430451170075685
202,1400,8.670465467730537e-05,2.4712779122637585e-05,9.855970347416587e-06,5.2135903388261795e-05
202,1500,7.496897887904197e-05,2.73710502369795e-05,3.1365502763947006e-06,4.446137972990982e-05
202,1600,3.950569225708023e-05,1.216384225699585e-05,2.7223850338486955e-06,2.4619464966235682e-05
202,1700,5.625276389764622e-05,1.2313757906667888e-05,7.642781383765396e-06,3.629622369771823e-05
202,1800,9.25331114558503e-05,3.3046857424778864e-05,6.08556092629442e-06,5.3400690376292914e-05
202,1900,0.0001274165988434106,1.7596532416064292e-05,4.2078131627931725e-06,0.0001056122564477846
203,0,5.964277443126775e-05,1.9134246031171642e-05,6.136147476354381e-06,3.437238046899438e-05
203,100,8.836677443468943e-05,2.977821532113012e-05,4.633291609934531e-06,5.395526750362478e-05
203,200,5.821097511216067e-05,1.9126440747641027e-05,6.768234015908092e-06,3.231630034861155e-05
203,300,5.957274333923124e-05,2.3005615730653517e-05,4.792013896803837e-06,3.1775114621268585e-05
203,400,5.279266770230606e-05,1.5441451978404075e-05,3.6537053347274195e-06,3.369750993442722e-05
203,500,7.26439175195992e-05,1.3806818060402293e-05,4.534288564173039e-06,5.430280725704506e-05
203,600,5.336973481462337e-05,1.7542717614560388e-05,4.984110091754701e-06,3.0842908017802984e-05
203,700,9.55032228375785e-05,3.0331621019286104e-05,8.692672054166906e-06,5.6478929764125496e-05
203,800,7.504809036618099e-05,2.5313111109426245e-05,3.900519004673697e-06,4.583446207107045e-05
203,900,6.512415711767972e-05,3.080097303609364e-05,5.330826297722524e-06,2.8992359148105606e-05
203,1000,8.455707575194538e-05,2.2199901650310494e-05,3.4536049042799277e-06,5.890357351745479e-05
203,1100,7.618476229254156e-05,4.43562566943001e-05,1.086914744519163e-05,2.0959358153049834e-05
203,1200,5.722131027141586e-05,2.402978134341538e-05,2.6831419290829217e-06,3.050838495255448e-05
203,1300,0.00012526349746622145,2.8517315513454378e-05,7.372038453468122e-06,8.937414531828836e-05
203,1400,7.276397082023323e-05,3.979229222750291e-05,8.93576998350909e-06,2.4035907699726522e-05
203,1500,8.25938768684864e-05,1.7230580851901323e-05,9.403706826560665e-06,5.595958646154031e-05
203,1600,7.172550249379128e-05,1.857787174230907e-05,8.321029781654943e-06,4.4826603698311374e-05
203,1700,7.675467350054532e-05,1.783860534487758e-05,6.859836503281258e-06,5.2056235290365294e-05
203,1800,7.981050293892622e-05,2.5491026462987065e-05,1.2497228453867137e-05,4.182224438409321e-05
203,1900,9.099894668906927e-05,1.3060741366643924e-05,2.6681261715566507e-06,7.527007983298972e-05
204,0,5.902812699787319e-05,1.3470835256157443e-05,3.980332166975131e-06,4.157695730100386e-05
204,100,6.0682072216877714e-05,2.394223520241212e-05,6.904563633725047e-06,2.9835271561751142e-05
204,200,0.00013366695202421397,3.7220837839413434e-05,1.2416427125572227e-05,8.40296852402389e-05
204,300,7.246234599733725e-05,2.520663292671088e-05,4.928276212012861e-06,4.232743594911881e-05
204,400,5.34189966856502e-05,1.2393763427098747e-05,4.324709607317345e-06,3.6700523196486756e-05
204,500,5.4422464017989114e-05,8.61114949657349e-06,4.524245014181361e-06,4.128706859773956e-05
204,600,3.640845898189582e-05,1.6816091374494135e-05,4.576907940645469e-06,1.5015460121503565e-05
204,700,0.000283519591903314,8.303778304252774e-05,7.80433401814662e-06,0.00019267747120466083
204,800,0.00010443400242365897,2.324318302271422e-05,2.832842255884316e-06,7.835797441657633e-05
204,900,4.519438516581431e-05,9.27596465771785e-06,5.150444394530496e-06,3.0767976568313316e-05
204,1000,5.458177110995166e-05,1.2936991879541893e-05,4.305299171392107e-06,3.733947960427031e-05
204,1100,6.780851254006848e-05,2.014899655478075e-05,5.052284450357547e-06,4.2607229261193424e-05
204,1200,5.1571911171777174e-05,1.3587036846729461e-05,4.459139745449647e-06,3.352573548909277e-05
204,1300,0.00010423808998893946,3.350196129758842e-05,8.276050721178763e-06,6.246007978916168e-05
204,1400,0.0001773781841620803,2.740580021054484e-05,1.6176249118871056e-05,0.00013379612937569618
204,1500,3.286919672973454e-05,1.1283759704383556e-05,4.040193289256422e-06,1.7545244190841913e-05
204,1600,4.593796984408982e-05,1.883001641544979e-05,5.498401606018888e-06,2.1609552277368493e-05
204,1700,0.0001217074750456959,2.9823655495420098e-05,3.67962434211222e-06,8.82041931618005e-05
204,1800,6.314486381597817e-05,1.8913842723122798e-05,5.074643922853284e-06,3.915637353202328e-05
204,1900,8.152602094924077e-05,2.35733841691399e-05,6.470549124060199e-06,5.148208583705127e-05
205,0,7.204268331406638e-05,2.0247245629434474e-05,6.53980850984226e-06,4.525562690105289e-05
205,100,9.35098942136392e-05,1.4677487342851236e-05,6.216499514266616e-06,7.261590508278459e-05
205,200,6.981495243962854e-05,1.71159153978806e-05,3.3546227768965764e-06,4.934441312798299e-05
205,300,7.813125557731837e-05,1.8218703189631924e-05,7.524376087530982e-06,5.238817902863957e-05
205,400,4.819155583390966e-05,1.3613423107017297e-05,4.848652679356746e-06,2.9729479138040915e-05
205,500,6.156561721581966e-05,1.777719626261387e-05,5.943716132605914e-06,3.784470754908398e-05
205,600,6.487947393907234e-05,1.626308039703872e-05,1.0078689228976145e-05,3.853770249406807e-05
205,700,0.00013384291378315538,1.727486051095184e-05,3.968684268329525e-06,0.00011259937309660017
205,800,6.789533654227853e-05,1.751836680341512e-05,5.064091055828612e-06,4.5312877773540094e-05
205,900,5.618713112198748e-05,1.1388957318558823e-05,4.6733152885281015e-06,4.01248580601532e-05
205,1000,8.459810487693176e-05,3.329717583255842e-05,5.328844963514712e-06,4.597208317136392e-05
205,1100,0.000139493917231448,3.8626862078672275e-05,6.013043275743257e-06,9.485401096753776e-05
205,1200,5.34015052835457e-05,1.9652543414849788e-05,3.0332068945426727e-06,3.071575702051632e-05
205,1300,6.630062853218988e-05,1.2441916624084115e-05,4.775412890012376e-06,4.908329719910398e-05
205,1400,9.631670400267467e-05,2.4730876248213463e-05,9.593125469109509e-06,6.1992701375857e-05
205,1500,0.0001151244796346873,2.937931458291132e-05,6.836223747086478e-06,7.890894630691037e-05
205,1600,5.2033028623554856e-05,1.4651271158072632e-05,3.1188433240458835e-06,3.426291368668899e-05
205,1700,5.4096541134640574e-05,1.4148256013868377e-05,6.1103837651899084e-06,3.3837899536592886e-05
205,1800,5.566918844124302e-05,1.7918746380019e-05,7.698631634411868e-06,3.005181315529626e-05
